,message_id,participant,utt,start_timestamp,end_timestamp,corr_utt,Label,Score,Category,Note
0,9ba5372b-c117-4365-a2c6-18c03761b9fc,RED_ASIST_2,medic is ready,00:47:00,00:49:00,,,,,pre-game
1,d1b898ae-baac-41c2-973f-32357aa2c512,GREEN_ASIST2,transporter is ready,00:47:00,00:49:00,,,,,pre-game
2,338b7f97-c861-440f-b014-6ff7a5c0fcc2,BLUE_ASIST2,okay,00:58:00,00:58:00,,,,,pre-game
3,9e011352-9fa7-4d0b-881c-3e0986ba04c3,BLUE_ASIST2,transport transport,1:0,1:1,,,,,pre-game
4,6442d105-b992-4982-bdac-11358fd3174b,BLUE_ASIST2,it did ask to do that,1:7,1:8,,,,,pre-game
5,8d9a6b72-0c4c-4b44-8757-5a2bc8c41508,BLUE_ASIST2,Engineers back,01:17:00,01:17:00,,,,,pre-game
6,b9d32bf6-1716-4163-af0d-3cf8c984fdc7,GREEN_ASIST2,all right so did anyone get any like information about where critical people will be specifically,03:41:00,03:46:00,,,,,pre-game
7,51e57089-a89e-444b-a3a1-faad4cb442bc,RED_ASIST_2,yeah,03:50:00,03:50:00,,,,,pre-game
8,ef45776e-64ed-48e3-9482-d54962e4848f,BLUE_ASIST2,yeah did so do you guys see like severe and B5 F2 in E3,03:49:00,03:55:00,,,,,pre-game
9,3758f425-6bbb-4a0c-bd9e-81808cc6b68c,GREEN_ASIST2,we didn't open door I didn't,03:53:00,03:54:00,,,,,pre-game
10,62825b00-6b64-46cd-a276-47c91ff59ef6,RED_ASIST_2,I don't know if severe but I have a list of rooms and I,03:57:00,4:0,,,,,pre-game
11,e9a57181-9f4c-4ee0-a6d3-c30c9e1cc70d,RED_ASIST_2,those are in my list,4:3,4:5,,,,,pre-game
12,85919a5b-1599-4153-ae66-283d67f03623,GREEN_ASIST2,me as well,4:4,4:4,,,,,pre-game
13,2ae35f9b-2a0c-4341-ba37-e851035090f8,BLUE_ASIST2,what is your list what does it say,4:5,4:7,,,,,pre-game
14,6847eac4-1ec9-481f-a6ce-acae10be208e,GREEN_ASIST2,yeah,04:14:00,04:14:00,,,,,pre-game
15,638209c0-6165-433d-963c-80dee2b18256,RED_ASIST_2,- is critical mission in vo and like meetings on left middle and right it's like three rooms and you section,4:8,04:14:00,,,,,pre-game
16,598b5920-0183-4541-a166-8d2145a8dccc,BLUE_ASIST2,Okay um yeah so E3 and F2 are very close to each other so if we could maybe start at their we can do the critical room stocked up quickly,04:17:00,04:27:00,,,,,pre-game
17,a05c249c-a24d-45b0-a1fd-69f1cede7d6d,RED_ASIST_2,okay let's head there first done,04:29:00,04:30:00,,,,,pre-game
18,82196052-6f2a-4b90-bdf1-e77c8313cfa4,GREEN_ASIST2,all right,04:29:00,04:29:00,,,,,pre-game
19,b3f51976-142a-4871-9fa1-4e7611e00393,BLUE_ASIST2,and then if I'm going to guess the same block search for blocking Zone C so if you guys run they're giving the victims all open the doors to the critical Zone,04:30:00,04:38:00,,,,,pre-game
20,82b62d2e-9fd5-4e01-9d6e-27b5910b7596,BLUE_ASIST2,okay,04:53:00,04:53:00,,,,,pre-game
21,8752c0a2-d960-4428-99ad-b37e57f02618,GREEN_ASIST2,I like it I will be more better about laying down like identifiers outside of each room so if the engineer is always with the Medics and I can leave to go do that and then if an engineer has to go clear room I can stay with the medic,04:38:00,04:51:00,,,,,pre-game
22,b104b3da-46da-48c1-81a1-6332d740b5d0,GREEN_ASIST2,all right,04:54:00,04:54:00,,,,,pre-game
23,2ef59d94-286e-4f7d-889b-6a028ec78978,RED_ASIST_2,yeah we should remember to once we like pick up the patients to get rid of any like patient markings or whatever so we don't think there's still people left,04:56:00,5:3,,,,,pre-game
24,1e797318-67dd-4a2b-a63d-22aa2a6fc0b7,GREEN_ASIST2,yeah,5:2,5:2,,,,,pre-game
25,8656f993-acea-4fbd-9815-c617361a6244,BLUE_ASIST2,yeah how do you get rid of the markings,5:4,5:5,,,,,pre-game
26,d483611b-ab12-40f0-8bd0-7b5c5b14eb42,RED_ASIST_2,you just mind them,5:6,5:7,,,,,pre-game
27,e415feae-728f-40ef-a250-1904b41c5188,BLUE_ASIST2,okay,5:8,5:8,,,,,pre-game
28,185aa4b4-55a8-4e9b-a19f-773625792896,GREEN_ASIST2,you literally can just yep yeah also if you're unsure about a room in a marker and I'm D1 always step on it too and it's just the scanner will tell me right away there's anyone in there or not,5:4,05:16:00,,,,,pre-game
29,4bbb1ed0-d740-400e-990c-cc419a607640,GREEN_ASIST2,but yeah all right,05:19:00,05:20:00,,,,,pre-game
