,message_id,participant,utt,start_timestamp,end_timestamp,corr_utt,Label,Score,Category,Note
0,dc422262-7eb8-4ae0-b331-a1a3b23758d1,GREEN_ASIST2,okay this is transporter I don't know how really good this information is but it's basically saying critical oh it's actually saying something a critical victims are likely to be in areas with the most severe damage so in places where the engineer can like knock stuff down there probably will be a lot of critical victims so they engineer I mean the medic should be with the engineer I guess,2:9,02:34:00,,,,,pre-game
1,cf11e8be-a5eb-47a9-b0b2-9eeab46ec5d7,BLUE_ASIST2,I engineer engineer here I have rooms with known damage from severe moderate its i3a E2 A2 L1 i2a and A4 so that kind of corresponds with critical victims being likely in those areas I was looking at the the map I think the best route to take would be from a to a A4 and building going wrapping around,02:35:00,3:4,,,,,pre-game
2,2b1467a2-d7f2-4e4f-a0d9-6c3e7b5d658a,BLUE_ASIST2,towards the North and then coming down maybe transporter can go down to the middle section and identify areas where there are critical victims and then we we end on the right side so it's kind of a snake pattern,3:5,03:21:00,,,,,pre-game
3,60ca3f96-a23a-4833-830f-46ba322d0c09,GREEN_ASIST2,this is transporter which way would you like to do so I'm going through a snake pattern,03:25:00,03:29:00,,,,,pre-game
4,0d360712-2b0a-4f43-a135-320f1ad14717,BLUE_ASIST2,yeah we I think we should start going from A1 towards A4 and then wrap towards Zone C and then you go down from Zone C and then we would go down from Zone B and then we kind of linked up close again,03:29:00,03:41:00,,,,,pre-game
5,99f4a885-e494-4c82-b307-d5e327a3fafd,RED_ASIST_2,this is medic transporter I believe that you should move easily B8 B9 C8 C7 move through that corner push down to about C5 and then turn around to go down B5 B6 B5 and kind of wrap around that little B,03:33:00,4:1,,,,,pre-game
6,fc038315-6ba6-482f-9476-d94c288cc0c0,RED_ASIST_2,block right there before basically,4:4,4:6,,,,,pre-game
7,6e0e4ff3-2e53-487c-97f7-887d9fa94a9c,GREEN_ASIST2,I'm sorry,4:7,4:7,,,,,pre-game
8,6453b675-49e4-4e41-b905-ee0358c509cb,BLUE_ASIST2,go go go,4:9,04:10:00,,,,,pre-game
9,563b164b-5ca6-4fac-bc3d-4953b524599c,GREEN_ASIST2,this is a transporter sounds good if I am able to I'm going to try and I'm going to try and locate the victims oops my bad I'm going to locate the victims try to put a block or I find some if you guys aren't there,04:12:00,04:30:00,,,,,pre-game
10,5a941645-73bd-48ce-ba4a-a15801304d0b,BLUE_ASIST2,I'm going to go ahead and start clearing high red rooms,04:32:00,04:35:00,,,,,pre-game
11,9cb692d7-f773-4af9-b3a6-c655903c2a88,GREEN_ASIST2,the victim is a regular victim in A2,04:38:00,04:43:00,,1a,,assert,
12,3cdae9ed-5ca3-446b-8605-9cd2f9e51538,BLUE_ASIST2,critical victim in C1,04:45:00,04:47:00,,2a,,assert,
13,c441a907-0cae-4726-bd3e-c67de35434fc,RED_ASIST_2,this is medic coming to c 1,04:50:00,04:52:00,,2b,3.0,accept,
14,1be2627d-e32c-4e0a-8d09-d6c792784f77,BLUE_ASIST2,I'll stay with you,04:55:00,04:55:00,,2c,,acknowledge,
15,afc50395-648b-4de4-8c32-23224db2d940,GREEN_ASIST2,three,04:56:00,04:56:00,,,,,
16,62a1e12f-ccc4-4a53-8de7-cc7a59535583,BLUE_ASIST2,there's to it,04:58:00,04:59:00,,,,,
17,8e3dcae4-b20e-4b86-b4b9-66379e25c564,BLUE_ASIST2,AR B,5:6,5:6,,,,,
18,6621d5eb-43d3-4e9d-9e43-d3af8145bd29,BLUE_ASIST2,I'll take I'll take it B,05:11:00,05:12:00,,3a,,commit,
19,64b470ae-4a39-47f8-bf05-74ca277a9577,GREEN_ASIST2,this is,05:14:00,05:14:00,,,,,
20,7b457ffa-1c52-4c15-a7df-6df40adb191a,RED_ASIST_2,this one is B so this is map yep if you would clear the collapse room,5:9,05:16:00,,3b.4a,3.0,acknowledge.action-directive,
21,d23427cd-fb44-45b8-9aa9-1ee19cdf047b,GREEN_ASIST2,this is transporter there's a critical victim in A4,05:16:00,05:18:00,,5a,,assert,
22,ab77d4c6-c131-4704-a061-e0543c516cd8,RED_ASIST_2,this is medic understood,05:25:00,05:25:00,,5b,1.0,acknowledge,
23,4cfb38e3-7a7f-45fd-b9c6-44e55e210f47,GREEN_ASIST2,this is transporter critical victim and B9,05:31:00,05:35:00,,6a,,assert,
24,90cff24a-0dcc-4f1d-8c4b-2a7d5a3f81e0,RED_ASIST_2,this is medic engineer if you would move to A2 and clear the rubble please,05:43:00,05:49:00,,7a,,action-directive,
25,dfd6bb1d-e3ae-4795-9dd3-84e05328d148,BLUE_ASIST2,A2 regular victims,05:51:00,05:53:00,,7b,3.0,accept,
26,722e5258-b9e3-4092-882b-ffa9afd50c3d,GREEN_ASIST2,this is transporter critical victim and C5,05:53:00,05:57:00,,8a,,assert,
27,8ca13498-0e97-4e4e-9857-a9fff22dd347,BLUE_ASIST2,I'll take B,05:59:00,05:59:00,,7b+,3.0,accept,
28,db3399a3-9c72-4cae-b84c-eea686930083,BLUE_ASIST2,transporter if you could as you go around the room c c any non critical victims to put them in the corridor north side if you're already over there,06:10:00,06:20:00,,9a,,action-directive,
29,50b99bd7-a115-4f17-a788-1c1eff953794,RED_ASIST_2,this is medic,06:22:00,06:22:00,,,,,
30,79fa8301-aff6-4f46-916a-694ffd2ce28f,GREEN_ASIST2,Corner north side,06:21:00,06:21:00,,9b,2.0,accept,
31,dc55d461-d81b-4947-a657-590ec2988926,GREEN_ASIST2,this is transport I'm going to finish up the rest of the doors and then come to you and A2,06:29:00,06:34:00,,9b+,2.0,accept,
32,d4a311fe-3883-4197-bc69-daead4108259,BLUE_ASIST2,yep right room right here,06:41:00,06:41:00,,9c,,acknowledge,
33,591792bb-3d1d-4cb1-8ab9-f10c4453de9b,GREEN_ASIST2,this is transporter this is transported B1 has a critical victim as well,06:38:00,06:45:00,,10a,,assert,
34,601fb6d3-615b-4524-b191-3648c3630909,RED_ASIST_2,like if transporter would come to A2 to pick up an a victim this is medic sounds good it's move to A4 blue,06:23:00,06:40:00,,11a,,assert,
35,01a7a2b6-508a-4d23-8ba6-85f73f105c56,GREEN_ASIST2,oh this is transport again B1 also has a deceptive B1 is critical thinking,06:47:00,06:55:00,,,,,
36,625ec16c-2a8a-4e25-a4d1-6e289c99f1ca,GREEN_ASIST2,this is transporter taking A2 has an a victim correct,7:4,7:8,,12a,,info-request,
37,82f76109-894c-4145-af7e-e3b5b136f547,GREEN_ASIST2,okay,07:12:00,07:12:00,,,,,
38,9189db3a-5ebe-44a9-ac18-32a3fab1bcdc,RED_ASIST_2,this is medic yes that is a dumb always put it basically right next to it,07:11:00,07:17:00,,12b,1.0,info-provide,
39,df9e51eb-a905-438f-9b63-ea9d1a2e5cd5,BLUE_ASIST2,this is an a victim as sorry Medic or engineer here this is a victim I'm going to run it to North Zone real quick,07:16:00,07:21:00,,13a,,assert,
40,193db975-24e9-453a-b7c5-a4ed8cff34b9,BLUE_ASIST2,no you shouldn't you can make it through,07:39:00,07:41:00,,15b,2.0,reject,
41,429df5fb-e863-4932-b453-43447369aa4d,RED_ASIST_2,this is medic I'm running a critical victim to North Zone C or never mind there's no can you blue and you C C8 that,07:23:00,07:37:00,,14a.15a,,assert.action-directive,
42,0b20d2c9-7f60-4367-8752-34833f173656,BLUE_ASIST2,let's pick up the rest of the critical victim Zone Zone unlike,07:53:00,07:58:00,,16a,,action-directive,
43,66ff34e2-3f82-4ee1-bfc9-19990ff88120,RED_ASIST_2,this is,8:0,8:1,,,,,
44,ea6bf3cb-787d-4017-9b5a-41186674a105,BLUE_ASIST2,the left side,8:4,8:5,,16a+,,action-directive,
45,31694939-a2c2-4b44-92ad-0ae09e3d47ae,RED_ASIST_2,medic blue if you would come to B9 since it's right here,8:4,8:8,,17a,,action-directive,
46,032e2888-86c7-470f-9402-c2ea4c4e4e58,BLUE_ASIST2,oh yeah this is a threat room as well,8:9,08:12:00,,17b,2.0,info-provide,
47,5ccea923-67c1-47fb-b463-cfde5f3d4c54,RED_ASIST_2,yeah then it should collapse what we get in here,08:13:00,08:16:00,,17c,,info-provide,
48,bbd7b8f5-3d92-4d88-9293-d64612e0b445,GREEN_ASIST2,this is green I'm do you want me to move safe victims to the South Zone Zone,08:18:00,08:24:00,,18a,,info-request,
49,86b0adb8-3b2a-4436-a05c-857aad407678,RED_ASIST_2,save victim search yeah that'll work whatever zone is closest to you that you feel this medic come wake C up,08:22:00,08:34:00,,18b,3.0,info-provide,
50,890e3900-930c-41dc-b011-446657904111,GREEN_ASIST2,this is a green I'm going to actually go to North Zone a my bed that seems B closest,08:40:00,08:46:00,,19a,,assert,
51,115587e6-9bce-4a1f-8977-5c28173fb766,BLUE_ASIST2,I put the critical victim marker right where you took it sorry this is blue,08:48:00,08:52:00,,20a,,assert,
