,message_id,participant,utt,start_timestamp,end_timestamp,corr_utt,Label,Score,Category,Note
0,7367760d-8b80-43bc-9195-7b838f7cf031,RED_ASIST3,nope,1:7,1:7,,,,,pre-game
1,31f2f818-a643-4164-8fe0-875548e5475d,GREEN_ASIST3,yep,1:9,1:9,,,,,pre-game
2,8c76df18-599c-4931-b4a3-3f120e88682c,BLUE_ASIST3,no,1:9,1:9,,,,,pre-game
3,7a40fb87-edfe-4cf9-b28e-33cfe7ef1004,RED_ASIST3,okay so do you want to run through what's been canceled or what has Rubble,01:21:00,01:24:00,,,,,pre-game
4,f5f13eb0-b03c-4624-9d16-115d3e088d73,GREEN_ASIST3,this is transporter yes so the things that have been cancelled are similar to last time zoom2 meetings and the storage reorganization have been canceled,01:26:00,01:35:00,,,,,pre-game
5,3b9bbf1b-432c-4257-a1ff-d9c50bbe3491,RED_ASIST3,okay where do we have Rubble,01:36:00,01:38:00,,,,,pre-game
6,96a9f55e-723f-4574-a45b-5a9b518c9c76,RED_ASIST3,okay we have it training G3 we don't need to look that storage organization and then B6 is technical exchange meeting is that still on for today,01:43:00,01:55:00,,,,,pre-game
7,501b31b0-c720-4824-8d24-648cdbba0814,BLUE_ASIST3,rooms with no damage severe damage is i2a G3 B6 okay,01:33:00,01:49:00,,,,,pre-game
8,63c9f282-bf77-49e3-b7ba-34a8817e5566,GREEN_ASIST3,technical exchange this is transporter technical exchange meeting is one of the high 10 B account ones,01:58:00,2:4,,,,,pre-game
9,5b9dd951-47c3-41e1-b33d-147a8eb48074,RED_ASIST3,okay just learning from last time this is medic I think our best course is transporter running through and marking rooms and me and engineer running through to deal with the high risk because there will likely be Rubble there and transport if you're running past a room that has someone and you can just bring them out into the hallway that's easier because it's easier to go down the big Hall ways than navigate,2:4,02:32:00,,,,,pre-game
10,86815a29-3068-478e-b5f2-d56bd3ae4343,RED_ASIST3,sight of rooms,02:33:00,02:34:00,,,,,pre-game
11,d0667afb-08bf-4505-bb25-6a2d1480af3f,BLUE_ASIST3,this is engineer I was thinking a very similar thing like if we C victims that are not critical that we can bring into the hall for medic that would be a good strategy this time,02:37:00,02:49:00,,,,,pre-game
12,324ed9cc-91e6-4eba-b442-feedfe3258a7,BLUE_ASIST3,right,02:54:00,02:54:00,,,,,pre-game
13,65e3e055-dbc5-40ac-9280-19a1c6e21cb6,RED_ASIST3,Trying to minimize their times in the rooms,02:49:00,02:51:00,,,,,pre-game
14,a6c06dce-bdaa-463e-9b5c-fd8229562479,GREEN_ASIST3,this is transporter sounds good,02:53:00,02:54:00,,,,,pre-game
15,baebe7bd-a2af-4f0f-88b3-df591032de61,BLUE_ASIST3,all right,02:56:00,02:57:00,,,,,pre-game
16,3bba5852-0863-41da-a23d-16389cf39378,RED_ASIST3,okay so what zone do you want to start off with this is a medic left center right side,02:55:00,3:2,,,,,pre-game
17,d96de029-9aa5-4aba-ac9d-0a7cea1f3cc2,BLUE_ASIST3,I,3:7,3:7,,,,,pre-game
18,0a4f069f-0e79-4b6c-9b82-7698396b6cfd,RED_ASIST3,we could start left because you said B6 was a big meeting,3:5,3:8,,,,,pre-game
19,a85dfccd-f636-4f57-b4b1-e623b0b5f2d4,RED_ASIST3,okay,03:10:00,03:10:00,,,,,pre-game
