message_id,participant,utt,start_timestamp,end_timestamp,corr_utt,label,AP,notes,sentiment,emotion,trial_id,team_id,ie_extraction
70cfac19-1171-44a8-b1c1-6d3069941118,E000651,other Red Door still there,0:38,0:43,,%,,"Speaker bleedover; All utt in order heard on video, times from indiv files",,,T000604,TM000202,
10a34235-9c1c-4a46-a2b6-1b553f58271d,E000607,transporter here I'm back,1:10,1:13,,s^z,,,,,T000604,TM000202,
cec24808-49b9-43d1-a703-ac6fd5c7c202,E000649,this is medic I'm back,1:13,1:16,,s^z,,,,,T000604,TM000202,
aa13fe0f-b4a8-4b22-a0eb-4ba9abebacbf,E000651,transport,1:10,1:22,,%,,,,,T000604,TM000202,
c1f6b2ce-4476-4e6c-b913-a26fdd89ada1,E000651,ready,1:37,1:41,this is Engineer I'm ready,s^z,,,,,T000604,TM000202,
f2138136-d378-497a-b7a4-7376895e2143,E000649,this is medic | should I got a message on slack through parsec should I open it,1:59,2:6,,s^z | qy^z,,,,,T000604,TM000202,"YesNoQuestion, YesNoQuestion"
c58a6b9d-76e5-498e-9b7f-708aa1403aec,E000649,okay I will not,2:7,2:10,,s^bk^z,,,,,T000604,TM000202,Agreement
da7c5c01-5a72-46e0-93ff-4c59e1284e5f,E000649,no don't worry about it you're good,2:20,2:24,,s^ba^z,,,,,T000604,TM000202,"Agreement, Disagreement"
4e12ebb4-828d-4807-90a7-684ef7580dc3,E000607,wait did you say transporter I'm back,2:42,2:45,,qy^bu^z,,,,,T000604,TM000202,YesNoQuestion
8ee12abb-eeab-4fe8-8982-48e93a484abf,E000607,sorry about that,2:45,2:50,,s^fa^z,,,,,T000604,TM000202,
d8f40c5f-afd0-478b-8e8f-f2e4eeca4264,E000649,yeah sorry,6:42,6:44,,s^aa^fa^z,,,,,T000604,TM000202,Agreement
fb51ecec-3f8f-437f-8191-26e1b35b8cc7,E000607,okay guys I'm thinking we should focus on the left side instead of the right side,6:53,6:59,,s^cs^z.%-,,,,,T000604,TM000202,"Agreement, DeliberatePlan"
02491c7d-8427-4021-8785-91ef93ab7c14,E000607,oh sorry whoops all right,6:59,7:3,,s^bk^fa^z,,,,,T000604,TM000202,Agreement
c4c5c5e2-830d-4569-8232-528bf5a5e947,E000607,okay so we kind of got fucked on the doors last game so what I'm thinking what I'm thinking is if we focus on the left side I think there's going to be a lot more where it's just a single door with multiple victims in it,7:18,7:31,,s^cs,1a,Video starts,negative,anger,T000604,TM000202,"Agreement, DeliberatePlan, LocationQuestion, Question, Question"
2583f1c2-18ff-49c9-a23e-8d08f3ff59b2,E000651,yeah,7:21,7:24,,s^aa,1b-1,,,,T000604,TM000202,Agreement
b80d143b-75cb-46bb-8e71-62fe21301ef9,E000607,friend,7:31,7:34,(indecipherable),%,,too quiet,,,T000604,TM000202,
afc8d49a-7d10-4fb9-820d-eedaee49ec6b,E000649,yeah that's that's a good idea because I kept as medic I kept getting in situations where I was just kind of Trapped in a room and waiting for engineer to make the painful Trek across the map to come rescue me,7:32,7:47,,s^df^j^na,1b-2.2a,,positive,joy,T000604,TM000202,"Agreement, LocationQuestion, Save"
,E000651,,7:32,7:34,I agree,s^aa,1b-2,something off with BLUE's audio,,,T000604,TM000202,
2cbe08ab-9571-47f4-b10f-2e1fee45fb45,E000651,yeah,7:41,7:48,,,2b-1,,,,T000604,TM000202,Agreement
6a1ad81e-2e2b-4b6c-b523-7bd67b81f7de,E000607,exactly and then also,7:41,7:48,exactly and then also go ahead,s^aa^co,2b-2.3a,,positive,neutral,T000604,TM000202,Precedence
ce97fd05-3d0d-4e6c-b9fd-4c8ecf6d6fc6,E000651,there's a lot of damage on the left side like we have one c a b d yeah there's like five damaged rooms in there and that's all in the left hand side so it'll be a good place to focus,7:46,8:2,,s^cs^df,3b.4a,,negative,surprise,T000604,TM000202,"Agreement, Damage, Damage, KnowledgeSharing"
ccae358c-a446-4538-8aab-e64640b493ea,E000607,okay,7:57,7:59,,s^bk,4b-1,,,,T000604,TM000202,Agreement
f9ba47ea-6aef-450f-9d56-8486c2d38b11,E000649,do you have the,8:0,8:4,,qy,4b-2.5a,,,,T000604,TM000202,YesNoQuestion
2eb63755-e786-4fda-ad8e-e9e4328f34c5,E000649,door room numbers for the damaged rooms,8:4,8:8,actual room numbers for the damaged rooms,s^e,4b-2+.5a+,,neutral,neutral,T000604,TM000202,Damage
64d85e13-01b4-4b8d-902a-65955c2e0ea3,E000651,yeah so yeah so I can start off in A1 and then go up to b 2,8:3,8:16,,s^aa^cc,5b.6a,,positive,neutral,T000604,TM000202,"Agreement, Agreement, MakeCommitment, MakeCommitment, Precedence, Precedence"
a467ecae-10f8-4ebb-896e-e42612fa7e79,E000649,there was a meeting there so,8:11,8:14,,s,6b.7a,"said after ""start off in A1""",,,T000604,TM000202,"KnowledgeSharing, Meeting"
ca90eeb7-4d6a-4907-870d-d3b11f114b95,E000649,okay there's also a meeting there I have a list of Zoom meeting and Facilities meeting,8:14,8:23,,s^bk,6b+.7a+.8b.9a,"6b+: said after ""B2"", 7/8: ""which meetings?""",neutral,neutral,T000604,TM000202,"Agreement, Meeting, Meeting, Meeting"
0476e2e8-6ad5-4673-9f1f-4337564c42da,E000607,which meetings,8:14,8:18,,qw^br,7b.8a,,,,T000604,TM000202,"Meeting, Question"
64e8126b-929e-4dcc-a076-31764932f907,E000607,okay because zoom2 meeting got canceled both of the zoom or Zoom meeting and zoom2,8:19,8:26,okay because zoom meeting got canceled both of the zoom Zoom meeting and zoom2,s^bk^df^e,9b.10a,,negative,surprise,T000604,TM000202,"Agreement, Meeting, Meeting"
b35f95ad-9738-4ae1-bedf-472b0a0eff23,E000649,okay well for this,8:24,8:27,,s^bk,10b-1,,,,T000604,TM000202,Agreement
8e31e138-b149-4f66-ac41-f5468a289c27,E000651,clear ones we can just enter right we can just not even show up,8:24,8:31,so the other ones we can just enter right we can just not even fill up,qy^d^g,10b-2.11a,,,,T000604,TM000202,"Enter, MakeCommitment, MakeCommitment"
76eb6a53-1d72-48d9-a5d8-e916d82e7ac2,E000649,okay so there is,8:29,8:31,,s^bk,11b-1,,neutral,neutral,T000604,TM000202,Agreement
05fa19bd-4aa2-406a-bafb-86438bf13780,E000607,yeah,8:27,8:29,,s^aa,11b-2,,,,T000604,TM000202,Agreement
03d68c61-77b0-4521-8f5e-07fc4d525dc5,E000649,yeah so both A1 and A4 but B2 is facilities meeting,8:31,8:39,,s^aap,11b-1+.12a,,neutral,neutral,T000604,TM000202,"Agreement, Meeting"
3ecb1034-5152-4dd2-a46f-efdc67b54e8a,E000607,hmm,8:35,8:38,mhm,s^b,12b,,,,T000604,TM000202,
ae27fabf-c6eb-44f0-a606-cf019151652c,E000649,your list me all of the meetings that were canceled today,8:39,8:43,here list me all of the meetings that were canceled today,s^co,13a,,neutral,neutral,T000604,TM000202,Meeting
5915da6c-ee19-413e-8ece-b0f776cb911d,E000607,that'll be the storage reorganization the zoom meeting in the zoom2 from office,8:41,8:49,that'll be the storage reorganization the zoom meeting and the zoom2 from office,s,13b.14a,,,,T000604,TM000202,Meeting
446d8bdf-74a3-4f0a-a9b8-439b683a0c91,E000649,okay | and then does,8:50,8:54,,s^bk | qy.%--,14b,,positive,neutral,T000604,TM000202,"Agreement, Precedence"
b779bc04-0149-4632-a618-8e5424404b65,E000649,what was the other information because I have one two three four five six I have six rooms where were meetings were not cancelled where there was planned meetings and that is B2 B6 D4 F4 i2a and M1,8:57,9:17,what was the other information | because I have one two three four five six I have six rooms where where meetings were not cancelled where there was planned meetings and that is B2 B6 D4 F4 i2a and M1,qw | s^df^e,15a,,,,T000604,TM000202,"KnowledgeSharing, Meeting, Meeting, PlanLanguage, Question"
406ff6ef-3355-45c3-bcde-28747f4b9f96,E000607,so for me the technical exchange the lunch and the management have the most attendees,9:13,9:20,,s,15b.16a,,neutral,neutral,T000604,TM000202,Meeting
fa116b70-5c3d-40ca-ad9e-fb7598b92e20,E000649,technical Exchange,9:21,9:24,,s^bk^m,16b,,,,T000604,TM000202,
b066619a-5f1d-479e-b320-7cb7944f869b,E000651,all the room B is mention have known damaged by the way like B6 M1 into it,9:18,9:27,all the rooms you just mentioned have known damage by the way like B6 M1 M2A,s,17a,known or no?,negative,neutral,T000604,TM000202,"Damage, Instruction"
aaeb5f49-c8ff-4c73-925b-1bb1f884dacb,E000607,okay,9:26,9:30,,s^bk,17b-1,,,,T000604,TM000202,Agreement
3fc8c35b-4f19-4a4a-9f65-5e7e50bcfb96,E000649,okay good to know,9:26,9:29,,s^ba,17b-2.18a,,positive,neutral,T000604,TM000202,"Agreement, Agreement"
81e55060-f64d-4946-8487-1411348acce4,E000651,yeah,9:27,9:30,,s^aa,18b,,,,T000604,TM000202,Agreement
6a0d3e8f-dc81-4c94-a1d6-d44ac316c87b,E000607,and I case yeah if we want to just start out doing the same strategy before here on the left side like leftmost and then just work back,9:29,9:39,and in that case yeah if we want to just start out doing the same strat before here on the left side like leftmost and then just work back,s^cs,19a,,neutral,neutral,T000604,TM000202,"Agreement, PlanLanguage, Precedence, Precedence"
,E000649,,9:39,9:41,yeah,s^aa,19b,,,,T000604,TM000202,
0bfac1dd-53ff-46cf-a864-b2392c143265,E000607,I'm going through and marking,9:39,9:43,,s^cc,20a,,,,T000604,TM000202,
953276ba-5b43-4bfd-8082-cc4065969400,E000649,make sure to look at B2 and B6 when you have the chance because I have a feeling there's going to be critical in there,9:44,9:51,,s^co^df,20b.21a,,neutral,neutral,T000604,TM000202,
98516cbd-24a1-4de2-89e9-513c9dd72ca7,E000607,okay,9:47,9:50,,s^bk,21b-1,,,,T000604,TM000202,Agreement
c397b340-7939-4d12-9e18-4ecc2c4ad182,E000651,yeah especially B6 that one should be pretty happy,9:48,9:54,,s^na,21b-2.22a,,neutral,neutral,T000604,TM000202,Agreement
1038c62a-25e4-438c-a4a6-77f6565598c4,E000649,yeah,9:56,9:58,,s^aa,22b,,,,T000604,TM000202,Agreement
7ddab9c9-7382-4263-8f3f-8604a017e4bf,E000607,yeah B2 is got critical in there,9:52,9:56,,s^na,21b-1+,,negative,sadness,T000604,TM000202,"Agreement, KnowledgeSharing"
0159a1c4-3c76-4337-87d3-84fbcb62ddff,E000651,yeah A1 have nothing,10:3,10:7,,s,,,,,T000604,TM000202,Agreement
b2278154-ab57-496c-9950-109baecd38cf,E000607, B6 is can be six is completely covered up by gravel engineer if you want to come up here and there's critical Zone there yep sorry,10:4,10:16,B6 is com B6 is completely covered up by gravel Engineer again there's criticals in there yup sorry,s^aa^fa,22a,,,,T000604,TM000202,"ContingentPlan, KnowledgeSharing, MoveTo"
,E000651,,10:10,10:13,alright,s^bk,22b,,,,T000604,TM000202,
307559cd-c093-4405-a612-622615468818,E000649,make sure market with the,10:13,10:15,make sure to mark it with the,s^co.%-,,,positive,neutral,T000604,TM000202,
1cb7ec4f-b168-42c4-bc94-12a81ac537aa,E000649,make sure the market,10:15,10:17,make sure to market,s^co^r,,,positive,neutral,T000604,TM000202,
9202a97f-8a7a-4225-95a4-ca2d25a7afd0,E000651,I2 going to b 2,10:17,10:20,there's a critical in B2,s,23a,,,,T000604,TM000202,MoveTo
24fd43b5-ae67-4edb-bfc0-ffe414c0bddf,E000607,yeah there's loads of critical Zone over here,10:20,10:24,yeah there's loads of critical's over here,s^na,23b.24a,,negative,neutral,T000604,TM000202,"Agreement, KnowledgeSharing"
c6477c61-3552-4b5e-b2b4-c0c4396405d3,E000607,awesome I'll start moving those,10:24,10:28,,s^ba^cc,24b.25a,,positive,joy,T000604,TM000202,"DeliberatePlan, MoveEntity"
6b7c6d25-bc9b-4233-abc3-d4647dc67c76,E000649,all right,10:29,10:31,,s^aa,25b,,,,T000604,TM000202,Agreement
3deedb39-4fcd-4c18-a54e-496db7c42a56,E000651,B6 is clear then we got A3 critical Zone B6 that's really a good place to start,10:37,10:42,B6 is clear then we got three criticals in B6 that's really a good place to start,s^cs,26a,,,,T000604,TM000202,"KnowledgeSharing, Precedence, RoomClear"
